District,Case ID,Application Type,ERF Number,ISIS Key,Locality Address,Allotment Area,Status Description,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Building Work Value Group,Number of Units,RDP/LCH Indicator,Submission Date,Approved Date,Commencement Date,Completion Date,Year,Area 2
Tygerberg,70517622,Building Plan < 500m2,5745,660990,76 FLORENCE STREET   OAKDALE,BELLVILLE,Work Commenced,Residential,Private,Dwelling Houses,Other,Conversion to Additional Dwelling,0,"104,000.00",Under 5 million,1,No,12/10/2020,15/10/2020,16/10/2020,,2020,BELLVILLE
Tygerberg,70517823,Building Plan < 500m2,26365,649434,20 CHARL MALAN STREET   BELLVILLE CBD,BELLVILLE,Work Complete,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations: Tekkie Town Middestad Mall,0,"104,000.00",Under 5 million,0,No,28/09/2020,02/12/2020,23/02/2021,23/02/2021,2020,BELLVILLE CBD
Tygerberg,70519122,Minor Works (Circulated),23334,696058,2 DE LA REY STREET   PAROW EAST,PAROW,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,Dry walls to existing shop,0,"104,000.00",Under 5 million,1,No,19/03/2021,31/03/2021,,,2021,PAROW EAST
Tygerberg,70316482,Minor Works (Non Circulated),9271,664074,78 13TH AVENUE  BOSTON,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations and Patio,29,"103,860.00",Under 5 million,1,No,25/10/2016,02/11/2016,28/11/2016,28/11/2016,2016,BELLVILLE
Northern,70486112,Minor Works (Non Circulated),36009,658336,15  DE UITKIJK 2 VAN RIEBEECKSHOF WEG   VAN RIEBEECKSHOF,BELLVILLE,Work Commenced,Other Approvals,Private,Other,Other,Patio and internal alterations to dwelling,29,"103,860.00",Under 5 million,1,No,03/01/2020,31/01/2020,28/08/2020,,2020,TYGER NORTHERN SUBURBS
Tygerberg,70152419,Building Plan < 500m2,22695,627424,6 DAUPHINE STREET  DE TIJGER,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alteration",21,"103,700.00",Under 5 million,1,No,17/06/2014,26/08/2014,05/09/2014,21/01/2016,2014,PAROW
Northern,70196408,Building Plan < 500m2,1162,635035,60 EKSTEEN STREET  LOEVENSTEIN,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Town House/Flats/Other Residen,,Rider plan,24,"103,680.00",Under 5 million,1,No,26/06/2009,08/07/2009,30/07/2009,28/07/2011,2009,TYGER NORTHERN SUBURBS
Northern,70024250,Building Plan < 500m2,38692,708088,14 MEERENHOF WAY  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension,  Internal A",19,"103,660.00",Under 5 million,1,No,04/10/2013,16/10/2013,01/11/2013,19/11/2014,2013,TYGER NORTHERN SUBURBS
Northern,70240327,Building Plan < 500m2,38642,708060,16 BOSCHENDAL MEWS STREET  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal, Carport",40,"103,650.00",Under 5 million,1,No,22/04/2015,14/05/2015,30/03/2016,30/03/2016,2015,TYGER NORTHERN SUBURBS
Northern,70414267,Minor Works (Non Circulated),86,665619,124 UPPER KENRIDGE AVENUE  KENRIDGE,KENRIDGE,Work Complete,Other Approvals,Private,Other,Other,Internal Alterations to Dwelling & Carport,23,"103,620.00",Under 5 million,1,No,04/09/2018,11/09/2018,27/11/2018,15/08/2019,2018,TYGER NORTHERN SUBURBS
Tygerberg,70274478,Building Plan < 500m2,10550,543514,68 11TH AVENUE  LEONSDALE,GOODWOOD,Work Commenced,Other Approvals,Private,Carports,Other,"Carport,Verandah & Wall",74,"103,360.00",Under 5 million,1,No,12/02/2016,29/02/2016,07/06/2016,,2016,GOODWOOD
Tygerberg,70503480,Minor Works (Circulated),440,629650,5 ANDREW MURRAY STREET   PAROW NORTH,PAROW,Application Approved,Other Approvals,Private,Patios,Other,Covered Patio to Dwelling,39,"103,350.00",Under 5 million,0,No,07/12/2020,23/12/2020,,,2020,PAROW
Northern,70378649,Minor Works (Circulated),30760,653867,12 SKEERKWAS WEG  PROTEAVALLEY,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,Other,"Verandah, Pool",66,"103,240.00",Under 5 million,1,No,23/11/2017,11/12/2017,22/12/2017,22/12/2017,2017,TYGER NORTHERN SUBURBS
Northern,70350694,Building Plan < 500m2,3284,655548,57 AVERY ROAD  HOHEIZEN,BELLVILLE,Work Complete,Other Approvals,Private,Other,Other,"Wendy House, Patio",77,"103,180.00",Under 5 million,1,No,15/06/2017,28/06/2017,15/06/2018,16/03/2020,2017,TYGER NORTHERN SUBURBS
Tygerberg,70409481,Building Plan < 500m2,6101,631095,93 SMITH STREET  CHURCHILL ESTATE,PAROW,Work Commenced,Other Approvals,Private,Carports,Carport,,77,"103,180.00",Under 5 million,1,No,01/11/2018,19/11/2018,27/03/2019,,2018,PAROW
Tygerberg,70508358,Building Plan < 500m2,10988,618418,86 JOUBERT STREET   PAROW VALLEY,PAROW,Application Approved,Other Approvals,Private,Carports,Carport,,77,"103,180.00",Under 5 million,1,No,20/07/2020,24/07/2020,,,2020,PAROW
Tygerberg,70523702,Building Plan < 500m2,23334,696058,2 DE LA REY STREET   PAROW EAST,PAROW,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations: The Cross Trainer Parow Centre,0,"103,075.70",Under 5 million,1,No,09/11/2020,24/11/2020,,,2020,PAROW
Northern,70267141,Building Plan < 500m2,739,662469,10 KOMMANDEUR STREET  WELGEMOED,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,19/10/2015,20/10/2015,03/11/2015,12/10/2016,2015,TYGER NORTHERN SUBURBS
Northern,70319130,Building Plan < 500m2,21256,644306,5 NUXIA CLOSE  LOEVENSTEIN,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,22/10/2016,31/10/2016,09/11/2016,05/05/2017,2016,TYGER NORTHERN SUBURBS
Northern,70339258,Building Plan < 500m2,1093,664798,9 BATYA WAY  KENRIDGE - Bellville,KENRIDGE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,21/03/2017,30/06/2017,10/10/2017,09/11/2018,2017,TYGER NORTHERN SUBURBS
Tygerberg,70358802,Building Plan < 500m2,15678,448316,36 LA ROCHELLE ROAD  LA ROCHELLE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,11/07/2017,27/07/2017,14/05/2018,,2017,BELLVILLE
Northern,70372737,Building Plan < 500m2,835,665602,49 WOOLF WAY  KENRIDGE - Bellville,KENRIDGE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,11/10/2017,24/10/2017,09/11/2017,09/11/2017,2017,TYGER NORTHERN SUBURBS
Tygerberg,70382969,Building Plan < 500m2,222,627071,2 VYGIE STREET  PAROW NORTH,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,05/12/2017,18/12/2017,01/02/2018,,2017,PAROW
Tygerberg,70414908,Building Plan < 500m2,39929,1001955,"150 FRANS CONRADIE, 9 DRIVE  OOSTERZEE-BELLVILLE",BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,Enclosed Patio,18,"102,960.00",Under 5 million,1,No,16/07/2018,20/08/2018,02/10/2018,27/09/2019,2018,BELLVILLE
Tygerberg,70453525,Building Plan < 500m2,15678,448316,36 LA ROCHELLE ROAD   LA ROCHELLE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,19/04/2019,25/04/2019,08/07/2019,,2019,BELLVILLE
Tygerberg,70454449,Building Plan < 500m2,18047,623270,148 MARKET STREET   KLIPKOP,PAROW,Application Approved,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,18/05/2019,04/06/2019,,,2019,PAROW
Tygerberg,70477093,Building Plan < 500m2,6409,565572,124 TYGERBERG STREET   RICHMOND ESTATE,GOODWOOD,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,07/10/2019,18/10/2019,18/12/2020,,2019,GOODWOOD
Northern,70478003,Building Plan < 500m2,802,665566,28 WOOLF WAY   KENRIDGE,KENRIDGE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,18/10/2019,25/10/2019,15/11/2019,,2019,TYGER NORTHERN SUBURBS
Tygerberg,70517467,Building Plan < 500m2,3890,659414,30 ST  ANDREWS STREET   OAKDALE,BELLVILLE,Application Approved,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,05/10/2020,26/10/2020,,,2020,BELLVILLE
Tygerberg,70517846,Building Plan < 500m2,6167,631160,36 JANSEN ROAD   GLENLILY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,18,"102,960.00",Under 5 million,1,No,05/10/2020,20/11/2020,07/12/2020,,2020,PAROW
Tygerberg,70520936,Building Plan < 500m2,14213,620077,164 VISAGIE STREET   KLIPKOP,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,Entertainment Room,18,"102,960.00",Under 5 million,1,No,17/11/2020,27/11/2020,01/12/2020,,2020,PAROW
Northern,70177394,Building Plan < 500m2,29146,652257,"12 WATERKLOOF ROAD  WATERKLOOF, DE BRON EXT 44",BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,15,"102,900.00",Under 5 million,1,No,05/11/2014,20/11/2014,30/06/2015,03/10/2016,2014,TYGER NORTHERN SUBURBS
Northern,70183345,Building Plan < 500m2,39091,796870,40 CASALINO CRESCENT  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,Enclosed patio,15,"102,900.00",Under 5 million,1,No,17/12/2014,06/01/2015,19/02/2015,19/02/2015,2014,TYGER NORTHERN SUBURBS
Northern,70222504,Building Plan < 500m2,38450,697164,23 LA VERITAS STREET  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,15,"102,900.00",Under 5 million,1,No,04/03/2015,18/06/2015,09/06/2016,09/06/2016,2015,TYGER NORTHERN SUBURBS
Northern,70041227,Building Plan < 500m2,1165,635047,66 EKSTEEN STREET  LOEVENSTEIN,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,20,"102,800.00",Under 5 million,1,No,28/10/2013,31/10/2013,05/05/2014,05/05/2014,2013,TYGER NORTHERN SUBURBS
Tygerberg,70151222,Building Plan < 500m2,4943,630006,12 KRIGE STREET  CHURCHILL ESTATE,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Additions, Carport",47,"102,780.00",Under 5 million,1,No,12/06/2014,21/07/2014,04/12/2015,,2014,PAROW
Northern,70015850,Building Plan < 500m2,3355,655938,15 AVERY ROAD  HOHEIZEN,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,21,"102,690.00",Under 5 million,1,No,10/10/2012,18/10/2012,23/10/2012,06/08/2015,2012,TYGER NORTHERN SUBURBS
Tygerberg,70213128,Building Plan < 500m2,10534,618079,17 PAUL KRUGER ROAD  PAROW VALLEY,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,,"""Dwelling Extension,  Carport""",105,"102,615.00",Under 5 million,1,No,10/07/2002,30/07/2002,06/08/2002,,2002,PAROW
Tygerberg,70238999,Building Plan < 500m2,15869,639387,33 STELLENBERG ROAD  OAKGLEN,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,19,"102,600.00",Under 5 million,1,No,01/04/2015,04/05/2015,11/05/2015,20/02/2017,2015,BELLVILLE
Tygerberg,70250416,Building Plan < 500m2,21044,644116,18 BELLBUSK CRESCENT  VREDENBERG,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,19,"102,600.00",Under 5 million,1,No,11/01/2016,13/01/2016,23/02/2016,27/09/2018,2016,BELLVILLE
Tygerberg,70263241,Building Plan < 500m2,3111,654065,4 VYGIE STREET  BLOMTUIN,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,19,"102,600.00",Under 5 million,1,No,06/10/2015,10/11/2015,18/11/2015,04/12/2019,2015,BELLVILLE
Tygerberg,70263429,Building Plan < 500m2,3174,448548,20 PROVIDENT - SOUTH STREET  AVONDALE,PAROW,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,19,"102,600.00",Under 5 million,1,No,23/09/2015,06/10/2015,06/09/2016,07/09/2016,2015,PAROW
Northern,70276296,Building Plan < 500m2,38093,707900,17 LA BRI STREET  OUDE WESTHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Town House/Flats/Other Residen,Town House Extension,,19,"102,600.00",Under 5 million,1,No,15/12/2015,22/12/2015,24/02/2017,24/02/2017,2015,TYGER NORTHERN SUBURBS
Tygerberg,70227562,,797,632543,4 WENNING STREET  PAROW NORTH,PAROW,Certificate Issued,Additions and Alterations,,,,,80,"102,557.00",Under 5 million,1,No,05/09/2002,,11/12/2002,,2002,PAROW
Tygerberg,70412468,Building Plan < 500m2,6841,565988,23 OXFORD STREET  RICHMOND ESTATE,GOODWOOD,Work Commenced,Other Approvals,Private,Carports,Other,"Carport, Internal Alterations",59,"102,460.00",Under 5 million,1,No,13/11/2018,12/12/2018,05/02/2020,,2018,GOODWOOD
Tygerberg,70057622,Building Plan < 500m2,15865,639383,27 SAXENBURG CRESCENT  OAKGLEN,BELLVILLE,Work Complete,Other Approvals,Private,Verandah,Other,"""Wendy House, Verandah""",54,"102,330.00",Under 5 million,1,No,10/12/2012,31/01/2013,08/02/2013,20/06/2014,2012,BELLVILLE
Northern,70190425,Minor Works (Non Circulated),37550,696735,7 SAUVIGNON BLANC STREET  OUDE WESTHOF,BELLVILLE,Certificate Issued,Other Approvals,Private,Patios,Other,Patio,35,"102,200.00",Under 5 million,1,No,12/02/2015,09/03/2015,19/04/2016,19/04/2016,2015,TYGER NORTHERN SUBURBS
Northern,70382280,Building Plan < 500m2,1091,664796,1 SOSHANNA WAY  KENRIDGE,KENRIDGE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,3,"102,160.00",Under 5 million,1,No,11/12/2017,02/01/2018,10/01/2018,07/02/2019,2017,TYGER NORTHERN SUBURBS
Tygerberg,70056461,Building Plan < 500m2,5686,660946,74 MEATH STREET  KINGSTON,BELLVILLE,Work Complete,Other Approvals,Private,Carports,Other,"Carport, Wall",66,"102,100.00",Under 5 million,1,No,30/09/2013,20/11/2013,18/02/2014,15/05/2015,2013,BELLVILLE
Tygerberg,70301100,Minor Works (Circulated),9664,633772,151 VICTORIA ROAD  PAROW,PAROW,Certificate Issued,Other Approvals,Private,Other,Other,re -roofing,50,"102,000.00",Under 5 million,1,No,05/07/2016,29/07/2016,25/08/2016,25/08/2016,2016,PAROW
Northern,70256248,Building Plan < 500m2,32410,655174,40 AGAPANTHUS AVENUE  WELGEDACHT,BELLVILLE,Certificate Issued,Other Approvals,Private,Verandah,Other,Verandas,82,"101,875.00",Under 5 million,1,No,06/08/2015,06/08/2015,18/09/2015,04/03/2016,2015,TYGER NORTHERN SUBURBS
Tygerberg,70437775,Building Plan < 500m2,4864,629931,124 SAREL CILLIERS STREET   CHURCHILL ESTATE,PAROW,Amendment Client,Other Approvals,Private,Carports,Other,Covered Areas,76,"101,840.00",Under 5 million,1,No,30/01/2019,,,,2019,PAROW
Tygerberg,70439885,Building Plan < 500m2,19174,548523,195 WIENER STREET  VASCO ESTATE,GOODWOOD,Work Commenced,Other Approvals,Private,Carports,Carport,,76,"101,840.00",Under 5 million,1,No,31/12/2018,04/01/2019,04/03/2020,,2018,GOODWOOD
Tygerberg,70460950,Minor Works (Circulated),5256,660557,4 VAN NIEKERK STREET   OAKDALE,BELLVILLE,Work Commenced,Other Approvals,Private,Other,Other,"Covered Patio, Avairy, Pond",40,"101,780.00",Under 5 million,1,No,02/08/2019,13/09/2019,08/11/2019,,2019,BELLVILLE
Tygerberg,70193582,Building Plan < 500m2,5863,630858,93 CHURCH ROAD  CHURCHILL ESTATE,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension,23,"101,670.00",Under 5 million,1,No,01/06/2009,06/07/2009,30/09/2009,25/01/2010,2009,PAROW
Tygerberg,70048745,Building Plan < 500m2,9909,664650,39 5TH AVENUE  BOSTON,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Int Alt, Wa",23,"101,650.00",Under 5 million,1,No,11/07/2013,24/07/2013,01/10/2015,01/10/2015,2013,BELLVILLE
Northern,70240557,Minor Works (Non Circulated),21750,635599,61 CARL CRONJE DRIVE  TYGERVALLEY,BELLVILLE,Certificate Issued,Other Approvals,Private,Walls,Walls,,0,"101,430.00",Under 5 million,1,No,29/04/2015,04/05/2015,15/02/2017,15/02/2017,2015,TYGERVALLEY
Northern,70499617,Building Plan < 500m2,39187,805939,27 WILLIE VAN SCHOOR AVENUE   TYGERVALLEY,BELLVILLE,Amendment Client,Additions and Alterations,Private,Internal Alterations,Other,Internal Alts_Office,0,"101,400.00",Under 5 million,1,No,04/06/2020,,,,2020,TYGERVALLEY
Tygerberg,70305497,Minor Works (Non Circulated),6316,661569,41 HALL STREET  DE LA HAYE,BELLVILLE,Certificate Issued,Other Approvals,Private,Patios,Other,"Covered Patio, Swimming pool, Wall",32,"101,330.00",Under 5 million,1,No,25/08/2016,02/09/2016,06/09/2016,18/01/2017,2016,BELLVILLE
Tygerberg,70153139,Building Plan < 500m2,10114,617685,82 VISAGIE STREET  PAROW VALLEY,PAROW,Certificate Issued,Other Approvals,Private,Patios,Other,Patio,81,"101,250.00",Under 5 million,1,No,25/07/2014,09/10/2014,19/11/2014,05/01/2015,2014,PAROW
Northern,70227401,Building Plan < 500m2,32556,655306,32 SPARAXIS AVENUE  WELGEDACHT,BELLVILLE,Certificate Issued,Other Approvals,Private,Swimming Pool,,Swimming pool,30,"101,100.00",Under 5 million,,No,02/08/2011,08/08/2011,,,2011,TYGER NORTHERN SUBURBS
Tygerberg,70029806,Building Plan < 500m2,4269,629524,38 KITCHENER ROAD  FAIRFIELD ESTATE,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"""Braai Area, Verandah, Swimming",65,"101,080.00",Under 5 million,1,No,05/10/2010,25/10/2010,12/11/2010,01/08/2013,2010,PAROW
Tygerberg,70113565,Building Plan < 500m2,6529,661787,4 GAINSBOROUGH STREET  DE LA HAYE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Braai Room,,25,"101,000.00",Under 5 million,1,No,03/12/2008,22/12/2008,04/12/2008,04/06/2010,2008,BELLVILLE
Tygerberg,70054322,Building Plan < 500m2,10589,543528,134 11TH AVENUE   LEONSDALE,GOODWOOD,Work Commenced,Other Approvals,Private,Patios,Other,Patio  (As Built),87,"100,920.00",Under 5 million,1,No,19/02/2013,03/05/2013,30/10/2013,,2013,GOODWOOD
Tygerberg,70197290,Building Plan < 500m2,11233,701152,10 ADAM TAS SQUARE  BELLVILLE CBD,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,,Addition to Traffic Department,94,"100,840.00",Under 5 million,1,No,24/06/2009,24/08/2009,02/06/2010,12/10/2011,2009,BELLVILLE CBD
Tygerberg,70376847,Building Plan < 500m2,14647,620475,8 HILLVIEW STREET  KLIPKOP,PAROW,Work Commenced,Other Approvals,Private,Carports,Carport,,61,"100,820.00",Under 5 million,1,No,09/11/2017,27/11/2017,20/07/2018,,2017,PAROW
Tygerberg,70077397,Minor Works (Circulated),34348,657098,12 PALOMA STREET  JOUBERTPARK,BELLVILLE,Work Commenced,Other Approvals,Private,Swimming Pool,Other,"Swimming Pool, Wall, Shadeport",22,"100,800.00",Under 5 million,1,No,14/05/2014,13/07/2016,27/10/2016,,2014,BELLVILLE
Northern,70162110,Building Plan < 500m2,38901,708238,10 CARRONNADE CRESCENT  KANONBERG,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,12,"100,750.00",Under 5 million,1,No,18/08/2014,19/09/2014,17/03/2015,21/08/2019,2014,TYGER NORTHERN SUBURBS
Tygerberg,70048511,Building Plan < 500m2,9916,664657,23 LINCOLN STREET  BOSTON,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,"""Internal Alterations, Braai Roo",16,"100,640.00",Under 5 million,1,No,02/05/2013,14/06/2013,,28/08/2016,2013,BELLVILLE
Northern,70293531,Building Plan < 500m2,401,448001,149 KOMMISSARIS STREET  WELGEMOED,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Dwelling,13,"100,620.00",Under 5 million,1,No,13/05/2016,21/06/2016,30/06/2017,30/06/2017,2016,TYGER NORTHERN SUBURBS
Northern,70448801,Building Plan < 500m2,30924,448752,42 OLD OAK WAY   KENRIDGE,BELLVILLE,Work Complete,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Sunroom,13,"100,620.00",Under 5 million,1,No,12/04/2019,17/04/2019,31/05/2019,31/05/2019,2019,TYGER NORTHERN SUBURBS
Northern,70485388,Building Plan < 500m2,38500,697196,90  LA VERITAS ESTATE 7 KOELENHOF STRAAT   VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Enclosure of patio,13,"100,620.00",Under 5 million,1,No,12/12/2019,15/01/2020,26/08/2020,26/08/2020,2019,TYGER NORTHERN SUBURBS
Northern,70516827,Building Plan < 500m2,35986,658310,38  DE UITKIJK 2 VAN RIEBEECKSHOF WEG   VAN RIEBEECKSHOF,BELLVILLE,Application Approved,Additions and Alterations,Private,Dwelling Houses,Other,Patio enclosure,13,"100,620.00",Under 5 million,1,No,30/09/2020,11/10/2020,,,2020,TYGER NORTHERN SUBURBS
Northern,70304018,Building Plan < 500m2,37861,696992,8 MURATI CLOSE  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Other Approvals,Private,Carports,Carport,,75,"100,500.00",Under 5 million,1,No,24/10/2016,05/05/2017,02/07/2018,02/07/2018,2016,TYGER NORTHERN SUBURBS
Tygerberg,70409347,Building Plan < 500m2,10658,618183,47 FREDERICK ROAD  PAROW VALLEY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport",39,"100,440.00",Under 5 million,1,No,27/07/2018,19/09/2018,25/10/2019,,2018,PAROW
Tygerberg,70496441,Building Plan < 500m2,23334,696058,2 DE LA REY STREET   PAROW EAST,PAROW,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,"Internal Alterations: Shop F1-75, Classic Leather Parow Cent",0,"100,136.40",Under 5 million,1,No,18/03/2020,03/09/2020,,,2020,PAROW EAST
Northern,70003740,Building Plan < 500m2,32402,655168,27 AGAPANTHUS AVENUE  WELGEDACHT,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,08/05/2007,22/06/2007,28/02/2013,,2007,TYGER NORTHERN SUBURBS
Tygerberg,70007334,Building Plan < 500m2,23334,696058,2 DE LA REY STREET  PAROW EAST,PAROW,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,07/02/2011,23/03/2011,05/05/2011,11/08/2015,2011,PAROW EAST
Northern,70008972,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,23/01/2012,09/02/2012,18/01/2013,22/05/2014,2012,TYGERVALLEY
Northern,70009361,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,20/06/2012,24/05/2013,31/05/2013,19/06/2014,2012,TYGERVALLEY
Northern,70011280,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Work Complete,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,09/12/2011,21/02/2012,22/03/2012,19/08/2014,2011,TYGERVALLEY
Northern,70012055,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Work Complete,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,04/04/2012,30/04/2012,16/05/2012,22/05/2014,2012,TYGERVALLEY
Northern,70012834,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,04/05/2012,03/06/2012,07/06/2012,17/06/2014,2012,TYGERVALLEY
Tygerberg,70013888,Building Plan < 500m2,23334,696058,2 DE LA REY STREET  PAROW EAST,PAROW,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,15/08/2012,12/10/2012,18/11/2013,24/07/2014,2012,PAROW EAST
Northern,70023400,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Work Complete,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,14/11/2013,29/11/2013,09/12/2013,19/08/2014,2013,TYGERVALLEY
Northern,70025057,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,29/05/2013,12/06/2013,14/06/2013,26/05/2014,2013,TYGERVALLEY
Tygerberg,70035840,Building Plan < 500m2,10010,634022,40 5TH AVENUE  BOSTON,BELLVILLE,Work Complete,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,31/08/2011,02/09/2011,01/09/2011,12/03/2012,2011,BELLVILLE
Tygerberg,70036375,Building Plan < 500m2,23334,696058,2 DE LA REY STREET  PAROW EAST,PAROW,Work Complete,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,19/05/2011,16/08/2011,29/08/2011,28/02/2012,2011,PAROW EAST
Northern,70044036,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"100,000.00",Under 5 million,1,No,06/11/2013,21/11/2013,,23/05/2014,2013,TYGERVALLEY
